normalized_name,canonical_name
1. fc heidenheim 1846,1. Fc Heidenheim 1846
1. fc koln,1. Fc Köln
1. fc union berlin,1. Fc Union Berlin
1. fsv mainz 05,1. FSV Mainz 05
aberdeen,Aberdeen
aberdeen fc,Aberdeen Fc
ac milan,Ac Milan
ac pisa 1909,Ac Pisa 1909
academica,Academica
acf fiorentina,Acf Fiorentina
ad. demirspor,Ad. Demirspor
adanaspor,Adanaspor
afc bournemouth,Afc Bournemouth
afs,Afs
aj auxerre,Aj Auxerre
ajaccio,Ajaccio
ajaccio gfco,Ajaccio Gfco
ajax,Ajax
akhisar belediyespor,Akhisar Belediyespor
al ahly,Al Ahly
al ittihad,Al Ittihad
al masry,Al Masry
alanyaspor,Alanyaspor
alaves,Alaves
aldosivi,Aldosivi
almere city,Almere City
almeria,Almeria
altay,Altay
america mineiro,America Mineiro
amiens,Amiens
anderlecht,Anderlecht
angers,Angers
angers sco,Angers Sco
ankaragucu,Ankaragucu
antalyaspor,Antalyaspor
antwerp,Antwerp
argentinos jrs,Argentinos Jrs
arouca,Arouca
arsenal,Arsenal
arsenal fc,Arsenal Fc
arsenal sarandi,Arsenal Sarandi
as monaco,As Monaco
as roma,As Roma
aston villa,Aston Villa
aston villa fc,Aston Villa Fc
aswan sc,Aswan Sc
atalanta,Atalanta
ath madrid,Ath Madrid
athletic club,Athletic Club
atletico de madrid,Atlético De Madrid
atletico goianiense,Atletico Goianiense
atletico paranaense,Atletico Paranaense
atletico tucuman,Atletico Tucuman
atletico-mg,Atletico-Mg
augsburg,Augsburg
auxerre,Auxerre
avai,Avai
aves,Aves
avs,Avs
az,Az
az alkmaar,Az Alkmaar
bahia,Bahia
baladiyyat al mehalla,Baladiyyat Al Mehalla
banfield,Banfield
barcelona,Barcelona
barnsley,Barnsley
barracas central,Barracas Central
bastia,Bastia
bayer 04 leverkusen,Bayer 04 Leverkusen
beerschot va,Beerschot Va
belenenses,Belenenses
belgrano cordoba,Belgrano Cordoba
benevento,Benevento
benfica,Benfica
besiktas,Besiktas
betis,Betis
bielefeld,Bielefeld
birmingham city,Birmingham City
blackburn rovers,Blackburn Rovers
blackpool,Blackpool
boavista,Boavista
boca juniors,Boca Juniors
bochum,Bochum
bodrumspor,Bodrumspor
bologna,Bologna
bologna fc 1909,Bologna Fc 1909
bolton wanderers,Bolton Wanderers
bordeaux,Bordeaux
borussia dortmund,Borussia Dortmund
borussia monchengladbach,Borussia Mönchengladbach
botafogo,Botafogo
bournemouth,Bournemouth
brentford,Brentford
brentford fc,Brentford Fc
brescia,Brescia
brest,Brest
brighton,Brighton
brighton & hove albion fc,Brighton & Hove Albion Fc
bristol city,Bristol City
burnley,Burnley
burnley fc,Burnley Fc
bursaspor,Bursaspor
burton,Burton
buyuksehyr,Buyuksehyr
ca osasuna,Ca Osasuna
cadiz,Cadiz
caen,Caen
cagliari,Cagliari
cagliari calcio,Cagliari Calcio
cambuur,Cambuur
cardiff,Cardiff
cardiff city,Cardiff City
carpi,Carpi
casa pia,Casa Pia
casa pia ac,Casa Pia Ac
caykur rizespor,Çaykur Rizespor
cd nacional,Cd Nacional
cd tondela,Cd Tondela
ceara,Ceara
celta,Celta
celtic,Celtic
celtic fc,Celtic Fc
central cordoba de santiago,Central Cordoba De Santiago
ceramica cleopatra,Ceramica Cleopatra
cercle brugge,Cercle Brugge
chabab mohammedia,Chabab Mohammédia
chapecoense-sc,Chapecoense-Sc
charleroi,Charleroi
charlton,Charlton
charlton athletic,Charlton Athletic
charlton athletic fc,Charlton Athletic Fc
chaves,Chaves
chelsea,Chelsea
chievo,Chievo
clermont,Clermont
club brugge,Club Brugge
club brugge kv,Club Brugge Kv
coca-cola,Coca-Cola
colon santa fe,Colon Santa Fe
como,Como
como 1907,Como 1907
corinthians,Corinthians
coritiba,Coritiba
coventry,Coventry
coventry city,Coventry City
coventry city fc,Coventry City Fc
cr khemis zemamra,Cr Khemis Zemamra
cremonese,Cremonese
crotone,Crotone
cruzeiro,Cruzeiro
crystal palace,Crystal Palace
crystal palace fc,Crystal Palace Fc
cuiaba,Cuiaba
darmstadt,Darmstadt
defensa y justicia,Defensa Y Justicia
den haag,Den Haag
dender,Dender
denizlispor,Denizlispor
deportivo alaves,Deportivo Alavés
derby county,Derby County
derby county fc,Derby County Fc
difaa el jadida,Difaa El Jadida
dijon,Dijon
dortmund,Dortmund
dundee,Dundee
dundee fc,Dundee Fc
dundee united,Dundee United
eibar,Eibar
ein frankfurt,Ein Frankfurt
eintracht frankfurt,Eintracht Frankfurt
el dakhleya,El Dakhleya
el geish,El Geish
el gouna fc,El Gouna Fc
el mokawloon,El Mokawloon
el sharqia dokhan,El Sharqia Dokhan
elche,Elche
elche cf,Elche Cf
empoli,Empoli
enppi,Enppi
erzurum bb,Erzurum Bb
eskisehirspor,Eskisehirspor
espanol,Espanol
estoril,Estoril
estoril praia,Estoril Praia
estrela,Estrela
estrela amadora,Estrela Amadora
estudiantes l.p.,Estudiantes L.P.
eupen,Eupen
everton,Everton
everton fc,Everton Fc
excelsior,Excelsior
excelsior rotterdam,Excelsior Rotterdam
eyupspor,Eyupspor
falkirk fc,Falkirk Fc
famalicao,Famalicao
far rabat,Far Rabat
farense,Farense
fatih karagumruk,Fatih Karagümrük
fc alverca,Fc Alverca
fc arouca,Fc Arouca
fc augsburg,Fc Augsburg
fc barcelona,Fc Barcelona
fc bayern munchen,FC Bayern München
fc emmen,Fc Emmen
fc famalicao,Fc Famalicão
fc groningen,Fc Groningen
fc internazionale milano,Fc Internazionale Milano
fc koln,Fc Koln
fc lorient,Fc Lorient
fc metz,Fc Metz
fc nantes,Fc Nantes
fc porto,Fc Porto
fc st. pauli 1910,Fc St. Pauli 1910
fc twente,Fc Twente
fc utrecht,Fc Utrecht
fc volendam,Fc Volendam
fcv dender eh,FCV Dender EH
feirense,Feirense
fenerbahce,Fenerbahçe
feyenoord,Feyenoord
fiorentina,Fiorentina
flamengo,Flamengo
fluminense,Fluminense
for sittard,For Sittard
fortaleza ec,Fortaleza Ec
fortuna dusseldorf,Fortuna Dusseldorf
fortuna sittard,Fortuna Sittard
freiburg,Freiburg
frosinone,Frosinone
fulham,Fulham
fulham fc,Fulham Fc
fus rabat,Fus Rabat
future fc,Future Fc
galatasaray,Galatasaray
gaziantep,Gaziantep
gaziantepspor,Gaziantepspor
genclerbirligi,Gençlerbirligi
genk,Genk
genoa,Genoa
genoa cfc,Genoa Cfc
gent,Gent
getafe,Getafe
getafe cf,Getafe Cf
ghazl el mehalla,Ghazl El Mehalla
gil vicente,Gil Vicente
gil vicente fc,Gil Vicente Fc
gimnasia l.p.,Gimnasia L.P.
giresunspor,Giresunspor
girona,Girona
girona fc,Girona Fc
go ahead eagles,Go Ahead Eagles
godoy cruz,Godoy Cruz
goias,Goias
goztep,Goztep
goztepe,Göztepe
graafschap,Graafschap
granada,Granada
gremio,Gremio
greuther furth,Greuther Furth
groningen,Groningen
guimaraes,Guimaraes
guingamp,Guingamp
hamburg,Hamburg
hamburger sv,Hamburger Sv
hamilton,Hamilton
hannover,Hannover
haras el hodood,Haras El Hodood
hassania agadir,Hassania Agadir
hatayspor,Hatayspor
havre athletic club,Havre Athletic Club
heart of midlothian,Heart Of Midlothian
hearts,Hearts
heerenveen,Heerenveen
heidenheim,Heidenheim
hellas verona fc,Hellas Verona Fc
heracles,Heracles
heracles almelo,Heracles Almelo
hertha,Hertha
hibernian,Hibernian
hibernian fc,Hibernian Fc
hoffenheim,Hoffenheim
holstein kiel,Holstein Kiel
huddersfield,Huddersfield
huesca,Huesca
hull city,Hull City
huracan,Huracan
independiente,Independiente
ingolstadt,Ingolstadt
instituto cordoba,Instituto Cordoba
inter,Inter
internacional,Internacional
inverness c,Inverness C
ipswich town,Ipswich Town
ismaily sc,Ismaily Sc
istanbul basaksehir,Istanbul Basaksehir
istanbulspor,Istanbulspor
ittihad tanger,Ittihad Tanger
juventude,Juventude
juventus,Juventus
kaa gent,KAA Gent
karabukspor,Karabukspor
karagumruk,Karagumruk
kasimpasa,Kasimpasa
kayserispor,Kayserispor
kilmarnock,Kilmarnock
kilmarnock fc,Kilmarnock Fc
kocaelispor,Kocaelispor
konyaspor,Konyaspor
kortrijk,Kortrijk
kv mechelen,Kv Mechelen
kvc westerlo,Kvc Westerlo
la coruna,La Coruna
lanus,Lanus
las palmas,Las Palmas
lazio,Lazio
le havre,Le Havre
lecce,Lecce
leeds,Leeds
leeds united,Leeds United
leeds united fc,Leeds United Fc
leganes,Leganes
leicester city,Leicester City
lens,Lens
levante,Levante
levante ud,Levante Ud
lille,Lille
liverpool,Liverpool
liverpool fc,Liverpool Fc
livingston,Livingston
livingston fc,Livingston Fc
lokeren,Lokeren
lorient,Lorient
losc lille,Losc Lille
luton,Luton
lyon,Lyon
m'gladbach,M'Gladbach
maghreb fes,Maghreb Fès
malaga,Malaga
mallorca,Mallorca
manchester city,Manchester City
manchester city fc,Manchester City Fc
manchester united fc,Manchester United Fc
maritimo,Maritimo
marnock fc,Marnock Fc
marseille,Marseille
masr,Masr
mechelen,Mechelen
mersin idman yurdu,Mersin Idman Yurdu
metz,Metz
middlesbrough,Middlesbrough
milan,Milan
millwall,Millwall
millwall fc,Millwall Fc
milton keynes dons,Milton Keynes Dons
misr el makasa,Misr El Makasa
moghreb tetouan,Moghreb Tetouan
monaco,Monaco
montpellier,Montpellier
monza,Monza
